# VELOCITY:     AVE_POFV:        ERROR:
   0.0874007    0.016871           0
    0.262202    0.124268           0
    0.437004    0.294302           0
    0.611805    0.526921           0
    0.786607    0.629391           0
    0.961408    0.763538           0
     1.13621    0.724234           0
     1.31101    0.692717           0
     1.48581    0.565403           0
     1.66061     0.46325           0
     1.83542    0.354503           0
     2.01022     0.23426           0
     2.18502    0.134147           0
     2.35982    0.084249           0
     2.53462   0.0527053           0
     2.70942   0.0299016           0
     2.88422   0.0144344           0
     3.05903  0.00746879           0
     3.23383  0.00288687           0
     3.40863 0.000715097           0
     3.58343  0.00121831           0
     3.75823  0.00182747           0
     3.93303 7.94552e-05           0
     4.10783 0.000132425           0
     4.28264 0.000132425           0
     4.45744 0.000185396           0
     4.63224 0.000370791           0
     4.80704 0.000662127           0
     4.98184           0           0
     5.15664           0           0
   0.0874007   0.0190428   0.0289914
    0.262202     0.12346   0.0107834
    0.437004    0.287164   0.0952826
    0.611805    0.524603   0.0309359
    0.786607    0.663623    0.456968
    0.961408    0.767127   0.0479065
     1.13621    0.758877    0.462448
     1.31101    0.712131    0.259155
     1.48581    0.556345    0.120915
     1.66061    0.454961    0.110662
     1.83542    0.340188    0.191096
     2.01022    0.215324    0.252791
     2.18502    0.128161   0.0799031
     2.35982   0.0771245   0.0951059
     2.53462   0.0424291    0.137179
     2.70942   0.0268426   0.0408354
     2.88422   0.0117064    0.036416
     3.05903  0.00699206  0.00636396
     3.23383  0.00201287   0.0116673
     3.40863 0.000357548  0.00477297
     3.58343 0.000609157  0.00813173
     3.75823 0.000913735   0.0121976
     3.93303 3.97276e-05  0.00053033
     4.10783 6.62127e-05 0.000883883
     4.28264 6.62127e-05 0.000883883
     4.45744 9.26978e-05  0.00123744
     4.63224 0.000185396  0.00247487
     4.80704 0.000331063  0.00441942
     4.98184           0           0
     5.15664           0           0
   0.0874007   0.0177362   0.0279139
    0.262202    0.121381   0.0328439
    0.437004    0.291186   0.0887538
    0.611805    0.500179    0.377037
    0.786607    0.655426    0.329809
    0.961408    0.770239   0.0576286
     1.13621    0.746747    0.360567
     1.31101    0.712245    0.172779
     1.48581    0.573508    0.276554
     1.66061    0.475654    0.327398
     1.83542    0.346946    0.164565
     2.01022    0.223004    0.205956
     2.18502    0.129503   0.0571437
     2.35982   0.0732489   0.0871147
     2.53462   0.0393215    0.103238
     2.70942   0.0236247   0.0565818
     2.88422   0.0114592   0.0245745
     3.05903  0.00587086   0.0177957
     3.23383  0.00172153  0.00898146
     3.40863 0.000238366  0.00367423
     3.58343 0.000406104  0.00625981
     3.75823 0.000609157  0.00938971
     3.93303 2.64851e-05 0.000408248
     4.10783 4.41418e-05 0.000680414
     4.28264 4.41418e-05 0.000680414
     4.45744 6.17985e-05 0.000952579
     4.63224 0.000123597  0.00190516
     4.80704 0.000220709  0.00340207
     4.98184           0           0
     5.15664           0           0
   0.0874007   0.0160698   0.0343586
    0.262202    0.118554   0.0523779
    0.437004    0.292528   0.0700877
    0.611805    0.502905    0.286268
    0.786607    0.656572    0.248064
    0.961408     0.77841    0.140403
     1.13621     0.76081    0.354961
     1.31101    0.703914    0.188009
     1.48581    0.576746    0.214064
     1.66061    0.474096    0.246867
     1.83542    0.337565    0.196856
     2.01022    0.221031      0.1578
     2.18502    0.129333   0.0429478
     2.35982   0.0735755   0.0655539
     2.53462   0.0380657   0.0801045
     2.70942   0.0215522   0.0543039
     2.88422   0.0110575    0.019566
     3.05903  0.00525067   0.0167615
     3.23383  0.00141033  0.00844167
     3.40863 0.000178774  0.00292284
     3.58343 0.000304578  0.00497965
     3.75823 0.000456867  0.00746947
     3.93303 1.98638e-05  0.00032476
     4.10783 3.31063e-05 0.000541266
     4.28264 3.31063e-05 0.000541266
     4.45744 4.63489e-05 0.000757772
     4.63224 9.26978e-05  0.00151554
     4.80704 0.000165532  0.00270633
     4.98184           0           0
     5.15664           0           0
   0.0874007   0.0152872   0.0304987
    0.262202    0.119326   0.0438834
    0.437004    0.292353   0.0561478
    0.611805    0.506628    0.237484
    0.786607    0.667307    0.268784
    0.961408    0.774286    0.132154
     1.13621     0.76304    0.286455
     1.31101    0.700784    0.159419
     1.48581    0.574562    0.175176
     1.66061    0.466513    0.235366
     1.83542    0.335725    0.160523
     2.01022    0.220494    0.126566
     2.18502    0.130497   0.0395829
     2.35982   0.0733636    0.052565
     2.53462   0.0373387   0.0652488
     2.70942   0.0228778   0.0488703
     2.88422   0.0118017   0.0200732
     3.05903  0.00559365   0.0146064
     3.23383  0.00172153  0.00855687
     3.40863   0.0003549  0.00378312
     3.58343 0.000243663  0.00411437
     3.75823 0.000365494  0.00617155
     3.93303  1.5891e-05 0.000268328
     4.10783 2.64851e-05 0.000447214
     4.28264 2.64851e-05 0.000447214
     4.45744 3.70791e-05 0.000626099
     4.63224 7.41582e-05   0.0012522
     4.80704 0.000132425  0.00223607
     4.98184           0           0
     5.15664           0           0
   0.0874007   0.0151759   0.0254877
    0.262202    0.117104   0.0529512
    0.437004    0.289742   0.0649101
    0.611805    0.505459    0.198926
    0.786607    0.667684    0.224081
    0.961408    0.778988    0.136728
     1.13621    0.768791    0.258468
     1.31101     0.70509    0.152167
     1.48581    0.577675    0.155525
     1.66061    0.466813    0.196206
     1.83542    0.332909    0.142301
     2.01022    0.213801    0.156294
     2.18502    0.127327   0.0638207
     2.35982   0.0730238   0.0441941
     2.53462   0.0384166   0.0574599
     2.70942   0.0226845   0.0408613
     2.88422   0.0115916   0.0171151
     3.05903  0.00545592   0.0124013
     3.23383  0.00178333  0.00720982
     3.40863 0.000410519  0.00329509
     3.58343 0.000286922  0.00350875
     3.75823 0.000304578  0.00524901
     3.93303 1.32425e-05 0.000228218
     4.10783 2.20709e-05 0.000380363
     4.28264 2.20709e-05 0.000380363
     4.45744 3.08993e-05 0.000532508
     4.63224 6.17985e-05  0.00106502
     4.80704 0.000110354  0.00190181
     4.98184           0           0
     5.15664           0           0
   0.0874007   0.0150057   0.0220484
    0.262202    0.115774   0.0509929
    0.437004    0.290617   0.0576992
    0.611805    0.506436    0.171361
    0.786607    0.668309    0.192379
    0.961408    0.773996    0.146106
     1.13621    0.769406    0.221805
     1.31101    0.708029    0.140181
     1.48581    0.581336    0.147871
     1.66061    0.465918    0.168902
     1.83542    0.334904     0.12686
     2.01022    0.213856     0.13397
     2.18502    0.126107   0.0587138
     2.35982   0.0727999   0.0380822
     2.53462   0.0376277   0.0511449
     2.70942   0.0213508   0.0420723
     2.88422   0.0109459   0.0185092
     3.05903  0.00524404   0.0112563
     3.23383  0.00203178  0.00755302
     3.40863 0.000351873  0.00300461
     3.58343 0.000245933  0.00309165
     3.75823 0.000261067  0.00456297
     3.93303 1.13507e-05  0.00019839
     4.10783 1.89179e-05  0.00033065
     4.28264 1.89179e-05  0.00033065
     4.45744 2.64851e-05  0.00046291
     4.63224 5.29701e-05  0.00092582
     4.80704 9.45895e-05  0.00165325
     4.98184           0           0
     5.15664           0           0
   0.0874007   0.0152157   0.0196455
    0.262202    0.116627    0.047094
    0.437004    0.292418   0.0596737
    0.611805    0.503441    0.158994
    0.786607    0.663292    0.190224
    0.961408    0.773122     0.12877
     1.13621    0.767882    0.195939
     1.31101    0.706324    0.126301
     1.48581    0.581311    0.129388
     1.66061    0.469815    0.163031
     1.83542    0.336602    0.114983
     2.01022     0.21682    0.128382
     2.18502     0.12691    0.053296
     2.35982   0.0738073   0.0377732
     2.53462   0.0383405   0.0464881
     2.70942   0.0208934   0.0376887
     2.88422   0.0103126   0.0196814
     3.05903   0.0047938   0.0126581
     3.23383   0.0019003  0.00700488
     3.40863 0.000307889  0.00274137
     3.58343 0.000215191  0.00275913
     3.75823 0.000228434  0.00403397
     3.93303  9.9319e-06  0.00017539
     4.10783 1.65532e-05 0.000292317
     4.28264 1.65532e-05 0.000292317
     4.45744 2.31744e-05 0.000409244
     4.63224 4.63489e-05 0.000818488
     4.80704 8.27658e-05  0.00146158
     4.98184           0           0
     5.15664           0           0
   0.0874007   0.0154908   0.0181364
    0.262202    0.116923    0.042191
    0.437004    0.293349   0.0555676
    0.611805    0.503478     0.14133
    0.786607    0.663613    0.169184
    0.961408    0.775645    0.122952
     1.13621    0.767152    0.174651
     1.31101    0.709809    0.128264
     1.48581    0.584452     0.12788
     1.66061    0.466346    0.157523
     1.83542    0.332544    0.125157
     2.01022    0.214629    0.120596
     2.18502    0.126758   0.0474517
     2.35982   0.0736314   0.0337218
     2.53462   0.0383622   0.0413245
     2.70942   0.0207761   0.0335661
     2.88422  0.00990247   0.0189567
     3.05903  0.00463194   0.0116146
     3.23383  0.00207172  0.00693389
     3.40863 0.000420818  0.00315881
     3.58343 0.000347249  0.00339703
     3.75823 0.000270736  0.00366395
     3.93303 8.82836e-06 0.000157135
     4.10783 1.47139e-05 0.000261891
     4.28264 1.47139e-05 0.000261891
     4.45744 2.05995e-05 0.000366648
     4.63224  4.1199e-05 0.000733296
     4.80704 7.35696e-05  0.00130946
     4.98184           0           0
     5.15664           0           0
   0.0874007   0.0158963   0.0178656
    0.262202    0.118266   0.0449554
    0.437004    0.293531   0.0501178
    0.611805    0.502533    0.128318
    0.786607    0.665469    0.155853
    0.961408    0.775274    0.110856
     1.13621    0.765675    0.159395
     1.31101    0.710404    0.115929
     1.48581    0.584348    0.115107
     1.66061    0.466222    0.141788
     1.83542    0.332552    0.112642
     2.01022    0.214887    0.108634
     2.18502    0.129989   0.0719218
     2.35982   0.0725214   0.0362811
     2.53462   0.0368858   0.0456336
     2.70942   0.0199221   0.0338607
     2.88422  0.00917178    0.021502
     3.05903  0.00427204   0.0122807
     3.23383  0.00186455  0.00726023
     3.40863 0.000378737  0.00294113
     3.58343 0.000312524  0.00311994
     3.75823 0.000243663  0.00333302
     3.93303 7.94552e-06 0.000142302
     4.10783 1.32425e-05 0.000237171
     4.28264 1.32425e-05 0.000237171
     4.45744 1.85396e-05 0.000332039
     4.63224 3.70791e-05 0.000664078
     4.80704 6.62127e-05  0.00118585
     4.98184           0           0
     5.15664           0           0
   0.0874007   0.0160861   0.0165966
    0.262202    0.117216   0.0450327
    0.437004    0.291254   0.0612896
    0.611805     0.50032    0.123268
    0.786607    0.666701     0.14341
    0.961408    0.772635    0.111413
     1.13621    0.768185    0.151782
     1.31101    0.714656    0.130254
     1.48581    0.587244    0.116906
     1.66061    0.464146    0.134205
     1.83542    0.333057    0.102804
     2.01022    0.215398   0.0991869
     2.18502    0.130032   0.0653881
     2.35982   0.0718299   0.0352533
     2.53462   0.0364748   0.0421396
     2.70942   0.0193823   0.0322796
     2.88422  0.00932275   0.0197352
     3.05903  0.00414853   0.0113835
     3.23383  0.00169504  0.00727131
     3.40863 0.000344306  0.00274464
     3.58343 0.000284113  0.00288204
     3.75823 0.000221512  0.00305614
     3.93303  7.2232e-06 0.000130018
     4.10783 1.20387e-05 0.000216696
     4.28264 1.20387e-05 0.000216696
     4.45744 1.68541e-05 0.000303374
