#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.12944    -1.12944           0
           2   -0.671543   -0.900491     0.16189
           3   -0.514449    -0.77181    0.150623
           4   -0.527957   -0.710847    0.124696
           5   -0.441539   -0.656985     0.11078
           6   -0.417816   -0.617124   0.0992296
           7    -0.39377   -0.585216   0.0900379
           8   -0.412913   -0.563678   0.0813184
           9   -0.407887   -0.546368   0.0741025
          10   -0.389459   -0.530677   0.0683333
          11   -0.435933   -0.522064   0.0626617
          12   -0.417186   -0.513324   0.0580462
          13   -0.374381   -0.502636   0.0545562
          14   -0.351073    -0.49181   0.0517223
          15   -0.358068   -0.482894   0.0490366
          16   -0.407349   -0.478173   0.0461986
          17   -0.414031     -0.4744   0.0436348
          18   -0.358985   -0.467988   0.0416791
          19   -0.395699   -0.464183   0.0396588
          20   -0.393458   -0.460647   0.0378331
