#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.81516     1.81516           0
           2     1.51151     1.66334    0.107355
           3     1.40699     1.57789   0.0999501
           4     1.41611     1.53744   0.0827414
           5     1.35854     1.50166   0.0735236
           6     1.34285     1.47519   0.0658617
           7     1.32674     1.45399     0.05977
           8      1.3395     1.43968   0.0539847
           9     1.33615     1.42817   0.0491966
          10     1.32374     1.41773   0.0453717
          11     1.35478     1.41201   0.0416064
          12     1.34232      1.4062   0.0385423
          13     1.31383     1.39909   0.0362265
          14     1.29822     1.39189   0.0343479
          15     1.30298     1.38596   0.0325654
          16     1.33573     1.38282   0.0306811
          17     1.34018     1.38031   0.0289786
          18     1.30355     1.37605   0.0276808
          19     1.32809     1.37353   0.0263387
          20     1.32655     1.37118   0.0251263
