#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.3276      1.3276           0
           2     1.34108     1.33434  0.00476677
           3     1.37178     1.34682   0.0106734
           4     1.36832      1.3522  0.00926038
           5     1.33505     1.34877  0.00801773
           6     1.32555      1.3449  0.00755772
           7     1.30717     1.33951  0.00817723
           8     1.27212     1.33108   0.0106432
           9     1.32001     1.32985  0.00953146
          10     1.34305     1.33117  0.00866921
          11     1.33851     1.33184  0.00790674
          12     1.32079     1.33092  0.00730126
          13     1.30881     1.32922  0.00693497
          14     1.30349     1.32738   0.0066787
          15     1.27678     1.32401  0.00703413
          16     1.30744     1.32297  0.00667029
          17     1.30041     1.32165  0.00640857
          18     1.33855     1.32258    0.006121
          19      1.3347     1.32322  0.00583198
          20     1.32583     1.32335  0.00554184
