# VELOCITY:     AVE_POFV:        ERROR:
    0.117851           0           0
    0.353553           0           0
    0.589256           0           0
    0.824958           0           0
     1.06066           0           0
     1.29636           0           0
     1.53206           0           0
     1.76777           0           0
     2.00347           0           0
     2.23917           0           0
     2.47487           1           0
     2.71058           0           0
     2.94628           0           0
     3.18198           0           0
     3.41768           0           0
     3.65339           0           0
     3.88909           0           0
     4.12479           0           0
     4.36049           0           0
     4.59619           0           0
      4.8319           0           0
      5.0676           0           0
      5.3033           0           0
       5.539           0           0
     5.77471           0           0
     6.01041           0           0
     6.24611           0           0
     6.48181           0           0
     6.71751           0           0
     6.95322           0           0
    0.117851  0.00392837           0
    0.353553   0.0326644           0
    0.589256   0.0866795           0
    0.824958    0.136589           0
     1.06066    0.212171           0
     1.29636    0.258074           0
     1.53206    0.458814           0
     1.76777    0.432848           0
     2.00347    0.441529           0
     2.23917    0.443061           0
     2.47487    0.535398           0
     2.71058    0.407019           0
     2.94628    0.251514           0
     3.18198    0.143739           0
     3.41768    0.139379           0
     3.65339   0.0933185           0
     3.88909   0.0593577           0
     4.12479   0.0340983           0
     4.36049     0.01371           0
     4.59619   0.0303859           0
      4.8319  0.00443906           0
      5.0676   0.0188562           0
      5.3033   0.0050676           0
       5.539           0           0
     5.77471           0           0
     6.01041           0           0
     6.24611           0           0
     6.48181           0           0
     6.71751           0           0
     6.95322           0           0
    0.117851  0.00309359    0.015026
    0.353553   0.0296396   0.0544472
    0.589256    0.103748    0.307238
    0.824958    0.183494    0.844285
     1.06066    0.307749     1.72039
     1.29636    0.388074     2.33999
     1.53206    0.476394     0.31643
     1.76777    0.449082    0.292212
     2.00347     0.43766     0.06965
     2.23917    0.440586   0.0445477
     2.47487    0.444063     1.64402
     2.71058    0.312305     1.70483
     2.94628    0.191272     1.08435
     3.18198    0.123037    0.372645
     3.41768    0.114001    0.456791
     3.65339   0.0553802    0.682888
     3.88909   0.0659377     0.11844
     4.12479   0.0284316       0.102
     4.36049   0.0183848   0.0841457
     4.59619   0.0207123    0.174125
      4.8319  0.00321144   0.0220971
      5.0676   0.0404917    0.389439
      5.3033  0.00589256   0.0148492
       5.539           0           0
     5.77471           0           0
     6.01041           0           0
     6.24611           0           0
     6.48181           0           0
     6.71751           0           0
     6.95322           0           0
    0.117851  0.00946083    0.132719
    0.353553   0.0410842    0.240626
    0.589256    0.122971    0.448982
    0.824958    0.216211    0.882732
     1.06066    0.363296     1.62738
     1.29636    0.466068     2.24978
     1.53206    0.463882    0.334858
     1.76777    0.479157    0.654748
     2.00347    0.415753    0.457694
     2.23917    0.402344    0.795414
     2.47487    0.384725     1.64995
     2.71058    0.245995     1.78643
     2.94628    0.164435    0.913087
     3.18198    0.105431    0.442289
     3.41768    0.112725    0.305681
     3.65339   0.0706845    0.555377
     3.88909   0.0694209    0.107126
     4.12479   0.0236488    0.120441
     4.36049   0.0163879   0.0697823
     4.59619   0.0142273    0.177887
      4.8319  0.00472714   0.0347773
      5.0676   0.0371951    0.268515
      5.3033  0.00442596   0.0320497
       5.539  0.00142076     0.02953
     5.77471  0.00544734    0.113221
     6.01041  0.00138802   0.0288495
     6.24611 0.000130946  0.00272166
     6.48181           0           0
     6.71751           0           0
     6.95322           0           0
    0.117851  0.00827904    0.102892
    0.353553   0.0397011    0.183027
    0.589256    0.122163    0.337208
    0.824958    0.227477    0.707104
     1.06066    0.367096     1.22341
     1.29636    0.482311     1.72491
     1.53206    0.498275    0.798717
     1.76777    0.500691    0.683013
     2.00347    0.430044    0.465933
     2.23917    0.399447     0.59997
     2.47487    0.356406     1.38602
     2.71058    0.218678     1.46894
     2.94628    0.151232      0.7441
     3.18198   0.0943791    0.411579
     3.41768    0.104431    0.293242
